model,method,level,episode_id,repetition,exact_acc,experiment_folder,run_folder,filename
GPT_5,FISER,2,task-bring_me-24-0-2,0,0,FISER_GPT_5,0,task-bring_me-24-0-2.json
GPT_5,FISER,1,task-bring_me-24-127-1,0,0,FISER_GPT_5,0,task-bring_me-24-127-1.json
GPT_5,FISER,1,task-bring_me-24-1682-1,0,1,FISER_GPT_5,0,task-bring_me-24-1682-1.json
GPT_5,FISER,2,task-bring_me-24-1721-2,0,0,FISER_GPT_5,0,task-bring_me-24-1721-2.json
GPT_5,FISER,3,task-bring_me-24-2223-3,0,0,FISER_GPT_5,0,task-bring_me-24-2223-3.json
GPT_5,FISER,4,task-bring_me-24-2362-4,0,0,FISER_GPT_5,0,task-bring_me-24-2362-4.json
GPT_5,FISER,1,task-bring_me-24-2425-1,0,1,FISER_GPT_5,0,task-bring_me-24-2425-1.json
GPT_5,FISER,2,task-bring_me-24-2581-2,0,0,FISER_GPT_5,0,task-bring_me-24-2581-2.json
GPT_5,FISER,1,task-bring_me-24-3316-1,0,1,FISER_GPT_5,0,task-bring_me-24-3316-1.json
GPT_5,FISER,4,task-bring_me-24-3338-4,0,0,FISER_GPT_5,0,task-bring_me-24-3338-4.json
GPT_5,FISER,4,task-bring_me-24-3419-4,0,0,FISER_GPT_5,0,task-bring_me-24-3419-4.json
GPT_5,FISER,4,task-bring_me-24-448-4,0,0,FISER_GPT_5,0,task-bring_me-24-448-4.json
GPT_5,FISER,2,task-bring_me-24-458-2,0,0,FISER_GPT_5,0,task-bring_me-24-458-2.json
GPT_5,FISER,3,task-bring_me-24-510-3,0,1,FISER_GPT_5,0,task-bring_me-24-510-3.json
GPT_5,FISER,3,task-bring_me-24-897-3,0,1,FISER_GPT_5,0,task-bring_me-24-897-3.json
GPT_5,FISER,3,task-bring_me-24-928-3,0,0,FISER_GPT_5,0,task-bring_me-24-928-3.json
GPT_5,FISER,4,task-bring_me-25-1329-4,0,0,FISER_GPT_5,0,task-bring_me-25-1329-4.json
GPT_5,FISER,3,task-bring_me-25-2147-3,0,0,FISER_GPT_5,0,task-bring_me-25-2147-3.json
GPT_5,FISER,2,task-bring_me-25-2171-2,0,0,FISER_GPT_5,0,task-bring_me-25-2171-2.json
GPT_5,FISER,4,task-bring_me-25-260-4,0,0,FISER_GPT_5,0,task-bring_me-25-260-4.json
GPT_5,FISER,3,task-bring_me-25-2642-3,0,0,FISER_GPT_5,0,task-bring_me-25-2642-3.json
GPT_5,FISER,3,task-bring_me-25-2689-3,0,0,FISER_GPT_5,0,task-bring_me-25-2689-3.json
GPT_5,FISER,4,task-bring_me-25-2769-4,0,0,FISER_GPT_5,0,task-bring_me-25-2769-4.json
GPT_5,FISER,2,task-bring_me-25-3312-2,0,0,FISER_GPT_5,0,task-bring_me-25-3312-2.json
GPT_5,FISER,1,task-bring_me-25-3462-1,0,1,FISER_GPT_5,0,task-bring_me-25-3462-1.json
GPT_5,FISER,2,task-bring_me-25-3553-2,0,0,FISER_GPT_5,0,task-bring_me-25-3553-2.json
GPT_5,FISER,1,task-bring_me-25-3580-1,0,1,FISER_GPT_5,0,task-bring_me-25-3580-1.json
GPT_5,FISER,1,task-bring_me-25-4071-1,0,1,FISER_GPT_5,0,task-bring_me-25-4071-1.json
GPT_5,FISER,2,task-bring_me-25-4171-2,0,0,FISER_GPT_5,0,task-bring_me-25-4171-2.json
GPT_5,FISER,3,task-bring_me-25-4262-3,0,0,FISER_GPT_5,0,task-bring_me-25-4262-3.json
GPT_5,FISER,1,task-bring_me-25-4891-1,0,0,FISER_GPT_5,0,task-bring_me-25-4891-1.json
GPT_5,FISER,4,task-bring_me-25-720-4,0,0,FISER_GPT_5,0,task-bring_me-25-720-4.json
GPT_5,FISER,1,task-bring_me-26-1295-1,0,1,FISER_GPT_5,0,task-bring_me-26-1295-1.json
GPT_5,FISER,2,task-bring_me-26-1296-2,0,0,FISER_GPT_5,0,task-bring_me-26-1296-2.json
GPT_5,FISER,1,task-bring_me-26-1362-1,0,1,FISER_GPT_5,0,task-bring_me-26-1362-1.json
GPT_5,FISER,2,task-bring_me-26-1801-2,0,0,FISER_GPT_5,0,task-bring_me-26-1801-2.json
GPT_5,FISER,3,task-bring_me-26-1959-3,0,0,FISER_GPT_5,0,task-bring_me-26-1959-3.json
GPT_5,FISER,1,task-bring_me-26-2052-1,0,0,FISER_GPT_5,0,task-bring_me-26-2052-1.json
GPT_5,FISER,1,task-bring_me-26-2057-1,0,0,FISER_GPT_5,0,task-bring_me-26-2057-1.json
GPT_5,FISER,4,task-bring_me-26-212-4,0,0,FISER_GPT_5,0,task-bring_me-26-212-4.json
GPT_5,FISER,3,task-bring_me-26-3425-3,0,0,FISER_GPT_5,0,task-bring_me-26-3425-3.json
GPT_5,FISER,2,task-bring_me-26-351-2,0,1,FISER_GPT_5,0,task-bring_me-26-351-2.json
GPT_5,FISER,4,task-bring_me-26-3627-4,0,0,FISER_GPT_5,0,task-bring_me-26-3627-4.json
GPT_5,FISER,3,task-bring_me-26-3806-3,0,0,FISER_GPT_5,0,task-bring_me-26-3806-3.json
GPT_5,FISER,2,task-bring_me-26-4136-2,0,0,FISER_GPT_5,0,task-bring_me-26-4136-2.json
GPT_5,FISER,3,task-bring_me-26-4485-3,0,0,FISER_GPT_5,0,task-bring_me-26-4485-3.json
GPT_5,FISER,4,task-bring_me-26-4814-4,0,0,FISER_GPT_5,0,task-bring_me-26-4814-4.json
GPT_5,FISER,4,task-bring_me-26-551-4,0,0,FISER_GPT_5,0,task-bring_me-26-551-4.json
GPT_5,FISER,4,task-bring_me-3-1310-4,0,0,FISER_GPT_5,0,task-bring_me-3-1310-4.json
GPT_5,FISER,1,task-bring_me-3-1755-1,0,1,FISER_GPT_5,0,task-bring_me-3-1755-1.json
GPT_5,FISER,4,task-bring_me-3-1793-4,0,0,FISER_GPT_5,0,task-bring_me-3-1793-4.json
GPT_5,FISER,3,task-bring_me-3-1879-3,0,0,FISER_GPT_5,0,task-bring_me-3-1879-3.json
GPT_5,FISER,1,task-bring_me-3-2528-1,0,1,FISER_GPT_5,0,task-bring_me-3-2528-1.json
GPT_5,FISER,4,task-bring_me-3-2885-4,0,0,FISER_GPT_5,0,task-bring_me-3-2885-4.json
GPT_5,FISER,4,task-bring_me-3-3635-4,0,0,FISER_GPT_5,0,task-bring_me-3-3635-4.json
GPT_5,FISER,3,task-bring_me-3-3673-3,0,0,FISER_GPT_5,0,task-bring_me-3-3673-3.json
GPT_5,FISER,3,task-bring_me-3-4122-3,0,0,FISER_GPT_5,0,task-bring_me-3-4122-3.json
GPT_5,FISER,2,task-bring_me-3-4176-2,0,0,FISER_GPT_5,0,task-bring_me-3-4176-2.json
GPT_5,FISER,2,task-bring_me-3-4215-2,0,0,FISER_GPT_5,0,task-bring_me-3-4215-2.json
GPT_5,FISER,1,task-bring_me-3-4249-1,0,1,FISER_GPT_5,0,task-bring_me-3-4249-1.json
GPT_5,FISER,3,task-bring_me-3-4541-3,0,0,FISER_GPT_5,0,task-bring_me-3-4541-3.json
GPT_5,FISER,2,task-bring_me-3-4665-2,0,0,FISER_GPT_5,0,task-bring_me-3-4665-2.json
GPT_5,FISER,1,task-bring_me-3-694-1,0,1,FISER_GPT_5,0,task-bring_me-3-694-1.json
GPT_5,FISER,2,task-bring_me-3-786-2,0,0,FISER_GPT_5,0,task-bring_me-3-786-2.json
GPT_5,FISER,3,task-bring_me-30-1353-3,0,0,FISER_GPT_5,0,task-bring_me-30-1353-3.json
GPT_5,FISER,3,task-bring_me-30-1588-3,0,1,FISER_GPT_5,0,task-bring_me-30-1588-3.json
GPT_5,FISER,2,task-bring_me-30-1749-2,0,1,FISER_GPT_5,0,task-bring_me-30-1749-2.json
GPT_5,FISER,1,task-bring_me-30-1892-1,0,1,FISER_GPT_5,0,task-bring_me-30-1892-1.json
GPT_5,FISER,4,task-bring_me-30-1979-4,0,0,FISER_GPT_5,0,task-bring_me-30-1979-4.json
GPT_5,FISER,3,task-bring_me-30-2497-3,0,1,FISER_GPT_5,0,task-bring_me-30-2497-3.json
GPT_5,FISER,3,task-bring_me-30-3198-3,0,0,FISER_GPT_5,0,task-bring_me-30-3198-3.json
GPT_5,FISER,1,task-bring_me-30-335-1,0,1,FISER_GPT_5,0,task-bring_me-30-335-1.json
GPT_5,FISER,1,task-bring_me-30-3851-1,0,0,FISER_GPT_5,0,task-bring_me-30-3851-1.json
GPT_5,FISER,2,task-bring_me-30-3921-2,0,0,FISER_GPT_5,0,task-bring_me-30-3921-2.json
GPT_5,FISER,2,task-bring_me-30-463-2,0,0,FISER_GPT_5,0,task-bring_me-30-463-2.json
GPT_5,FISER,4,task-bring_me-30-4665-4,0,0,FISER_GPT_5,0,task-bring_me-30-4665-4.json
GPT_5,FISER,1,task-bring_me-30-4676-1,0,0,FISER_GPT_5,0,task-bring_me-30-4676-1.json
GPT_5,FISER,4,task-bring_me-30-4823-4,0,0,FISER_GPT_5,0,task-bring_me-30-4823-4.json
GPT_5,FISER,2,task-bring_me-30-541-2,0,1,FISER_GPT_5,0,task-bring_me-30-541-2.json
GPT_5,FISER,4,task-bring_me-30-835-4,0,0,FISER_GPT_5,0,task-bring_me-30-835-4.json
GPT_5,FISER,4,task-bring_me-31-1273-4,0,0,FISER_GPT_5,0,task-bring_me-31-1273-4.json
GPT_5,FISER,1,task-bring_me-31-1357-1,0,1,FISER_GPT_5,0,task-bring_me-31-1357-1.json
GPT_5,FISER,2,task-bring_me-31-1442-2,0,1,FISER_GPT_5,0,task-bring_me-31-1442-2.json
GPT_5,FISER,3,task-bring_me-31-1786-3,0,1,FISER_GPT_5,0,task-bring_me-31-1786-3.json
GPT_5,FISER,2,task-bring_me-31-1864-2,0,0,FISER_GPT_5,0,task-bring_me-31-1864-2.json
GPT_5,FISER,2,task-bring_me-31-2046-2,0,0,FISER_GPT_5,0,task-bring_me-31-2046-2.json
GPT_5,FISER,2,task-bring_me-31-2138-2,0,0,FISER_GPT_5,0,task-bring_me-31-2138-2.json
GPT_5,FISER,4,task-bring_me-31-2709-4,0,1,FISER_GPT_5,0,task-bring_me-31-2709-4.json
GPT_5,FISER,1,task-bring_me-31-3359-1,0,1,FISER_GPT_5,0,task-bring_me-31-3359-1.json
GPT_5,FISER,3,task-bring_me-31-3946-3,0,0,FISER_GPT_5,0,task-bring_me-31-3946-3.json
GPT_5,FISER,4,task-bring_me-31-416-4,0,0,FISER_GPT_5,0,task-bring_me-31-416-4.json
GPT_5,FISER,3,task-bring_me-31-4522-3,0,0,FISER_GPT_5,0,task-bring_me-31-4522-3.json
GPT_5,FISER,1,task-bring_me-31-4781-1,0,1,FISER_GPT_5,0,task-bring_me-31-4781-1.json
GPT_5,FISER,4,task-bring_me-31-4972-4,0,1,FISER_GPT_5,0,task-bring_me-31-4972-4.json
GPT_5,FISER,3,task-bring_me-31-672-3,0,0,FISER_GPT_5,0,task-bring_me-31-672-3.json
GPT_5,FISER,1,task-bring_me-31-748-1,0,1,FISER_GPT_5,0,task-bring_me-31-748-1.json
GPT_5,FISER,3,task-bring_me-32-1300-3,0,0,FISER_GPT_5,0,task-bring_me-32-1300-3.json
GPT_5,FISER,2,task-bring_me-32-1454-2,0,1,FISER_GPT_5,0,task-bring_me-32-1454-2.json
GPT_5,FISER,2,task-bring_me-32-2284-2,0,0,FISER_GPT_5,0,task-bring_me-32-2284-2.json
GPT_5,FISER,3,task-bring_me-32-2456-3,0,0,FISER_GPT_5,0,task-bring_me-32-2456-3.json
GPT_5,FISER,4,task-bring_me-32-2756-4,0,1,FISER_GPT_5,0,task-bring_me-32-2756-4.json
GPT_5,FISER,4,task-bring_me-32-2868-4,0,0,FISER_GPT_5,0,task-bring_me-32-2868-4.json
GPT_5,FISER,1,task-bring_me-32-3055-1,0,1,FISER_GPT_5,0,task-bring_me-32-3055-1.json
GPT_5,FISER,2,task-bring_me-32-3433-2,0,0,FISER_GPT_5,0,task-bring_me-32-3433-2.json
GPT_5,FISER,3,task-bring_me-32-3643-3,0,0,FISER_GPT_5,0,task-bring_me-32-3643-3.json
GPT_5,FISER,1,task-bring_me-32-4001-1,0,1,FISER_GPT_5,0,task-bring_me-32-4001-1.json
GPT_5,FISER,2,task-bring_me-32-4184-2,0,1,FISER_GPT_5,0,task-bring_me-32-4184-2.json
GPT_5,FISER,4,task-bring_me-32-4640-4,0,0,FISER_GPT_5,0,task-bring_me-32-4640-4.json
GPT_5,FISER,1,task-bring_me-32-4727-1,0,1,FISER_GPT_5,0,task-bring_me-32-4727-1.json
GPT_5,FISER,1,task-bring_me-32-600-1,0,1,FISER_GPT_5,0,task-bring_me-32-600-1.json
GPT_5,FISER,3,task-bring_me-32-849-3,0,0,FISER_GPT_5,0,task-bring_me-32-849-3.json
GPT_5,FISER,4,task-bring_me-32-925-4,0,0,FISER_GPT_5,0,task-bring_me-32-925-4.json
GPT_5,FISER,3,task-bring_me-33-1109-3,0,0,FISER_GPT_5,0,task-bring_me-33-1109-3.json
GPT_5,FISER,1,task-bring_me-33-1321-1,0,1,FISER_GPT_5,0,task-bring_me-33-1321-1.json
GPT_5,FISER,1,task-bring_me-33-160-1,0,1,FISER_GPT_5,0,task-bring_me-33-160-1.json
GPT_5,FISER,3,task-bring_me-33-2024-3,0,0,FISER_GPT_5,0,task-bring_me-33-2024-3.json
GPT_5,FISER,2,task-bring_me-33-2217-2,0,0,FISER_GPT_5,0,task-bring_me-33-2217-2.json
GPT_5,FISER,1,task-bring_me-33-2426-1,0,1,FISER_GPT_5,0,task-bring_me-33-2426-1.json
GPT_5,FISER,3,task-bring_me-33-2644-3,0,0,FISER_GPT_5,0,task-bring_me-33-2644-3.json
GPT_5,FISER,2,task-bring_me-33-2703-2,0,1,FISER_GPT_5,0,task-bring_me-33-2703-2.json
GPT_5,FISER,4,task-bring_me-33-2863-4,0,0,FISER_GPT_5,0,task-bring_me-33-2863-4.json
GPT_5,FISER,3,task-bring_me-33-2909-3,0,0,FISER_GPT_5,0,task-bring_me-33-2909-3.json
GPT_5,FISER,1,task-bring_me-33-3468-1,0,1,FISER_GPT_5,0,task-bring_me-33-3468-1.json
GPT_5,FISER,4,task-bring_me-33-3709-4,0,0,FISER_GPT_5,0,task-bring_me-33-3709-4.json
GPT_5,FISER,2,task-bring_me-33-4153-2,0,1,FISER_GPT_5,0,task-bring_me-33-4153-2.json
GPT_5,FISER,2,task-bring_me-33-4514-2,0,0,FISER_GPT_5,0,task-bring_me-33-4514-2.json
GPT_5,FISER,4,task-bring_me-33-4624-4,0,0,FISER_GPT_5,0,task-bring_me-33-4624-4.json
GPT_5,FISER,4,task-bring_me-33-67-4,0,0,FISER_GPT_5,0,task-bring_me-33-67-4.json
GPT_5,FISER,4,task-bring_me-35-1390-4,0,0,FISER_GPT_5,0,task-bring_me-35-1390-4.json
GPT_5,FISER,2,task-bring_me-35-1511-2,0,0,FISER_GPT_5,0,task-bring_me-35-1511-2.json
GPT_5,FISER,3,task-bring_me-35-1562-3,0,0,FISER_GPT_5,0,task-bring_me-35-1562-3.json
GPT_5,FISER,2,task-bring_me-35-2042-2,0,0,FISER_GPT_5,0,task-bring_me-35-2042-2.json
GPT_5,FISER,4,task-bring_me-35-2217-4,0,0,FISER_GPT_5,0,task-bring_me-35-2217-4.json
GPT_5,FISER,4,task-bring_me-35-23-4,0,0,FISER_GPT_5,0,task-bring_me-35-23-4.json
GPT_5,FISER,3,task-bring_me-35-451-3,0,1,FISER_GPT_5,0,task-bring_me-35-451-3.json
GPT_5,FISER,1,task-bring_me-35-534-1,0,1,FISER_GPT_5,0,task-bring_me-35-534-1.json
GPT_5,FISER,1,task-bring_me-35-539-1,0,1,FISER_GPT_5,0,task-bring_me-35-539-1.json
GPT_5,FISER,3,task-bring_me-35-548-3,0,0,FISER_GPT_5,0,task-bring_me-35-548-3.json
GPT_5,FISER,2,task-bring_me-35-578-2,0,1,FISER_GPT_5,0,task-bring_me-35-578-2.json
GPT_5,FISER,1,task-bring_me-35-696-1,0,1,FISER_GPT_5,0,task-bring_me-35-696-1.json
GPT_5,FISER,2,task-bring_me-35-725-2,0,0,FISER_GPT_5,0,task-bring_me-35-725-2.json
GPT_5,FISER,3,task-bring_me-35-78-3,0,0,FISER_GPT_5,0,task-bring_me-35-78-3.json
GPT_5,FISER,4,task-bring_me-35-787-4,0,0,FISER_GPT_5,0,task-bring_me-35-787-4.json
GPT_5,FISER,1,task-bring_me-35-914-1,0,1,FISER_GPT_5,0,task-bring_me-35-914-1.json
GPT_5,FISER,2,task-bring_me-36-1344-2,0,0,FISER_GPT_5,0,task-bring_me-36-1344-2.json
GPT_5,FISER,3,task-bring_me-36-1570-3,0,0,FISER_GPT_5,0,task-bring_me-36-1570-3.json
GPT_5,FISER,2,task-bring_me-36-1759-2,0,1,FISER_GPT_5,0,task-bring_me-36-1759-2.json
GPT_5,FISER,1,task-bring_me-36-1788-1,0,0,FISER_GPT_5,0,task-bring_me-36-1788-1.json
GPT_5,FISER,1,task-bring_me-36-2050-1,0,1,FISER_GPT_5,0,task-bring_me-36-2050-1.json
GPT_5,FISER,1,task-bring_me-36-2221-1,0,1,FISER_GPT_5,0,task-bring_me-36-2221-1.json
GPT_5,FISER,3,task-bring_me-36-2693-3,0,0,FISER_GPT_5,0,task-bring_me-36-2693-3.json
GPT_5,FISER,2,task-bring_me-36-3199-2,0,0,FISER_GPT_5,0,task-bring_me-36-3199-2.json
GPT_5,FISER,3,task-bring_me-36-349-3,0,0,FISER_GPT_5,0,task-bring_me-36-349-3.json
GPT_5,FISER,4,task-bring_me-36-36-4,0,0,FISER_GPT_5,0,task-bring_me-36-36-4.json
GPT_5,FISER,4,task-bring_me-36-392-4,0,0,FISER_GPT_5,0,task-bring_me-36-392-4.json
GPT_5,FISER,3,task-bring_me-36-4366-3,0,0,FISER_GPT_5,0,task-bring_me-36-4366-3.json
GPT_5,FISER,4,task-bring_me-36-4444-4,0,0,FISER_GPT_5,0,task-bring_me-36-4444-4.json
GPT_5,FISER,2,task-bring_me-36-4788-2,0,0,FISER_GPT_5,0,task-bring_me-36-4788-2.json
GPT_5,FISER,1,task-bring_me-36-50-1,0,1,FISER_GPT_5,0,task-bring_me-36-50-1.json
GPT_5,FISER,4,task-bring_me-36-673-4,0,0,FISER_GPT_5,0,task-bring_me-36-673-4.json
GPT_5,FISER,4,task-bring_me-46-1231-4,0,0,FISER_GPT_5,0,task-bring_me-46-1231-4.json
GPT_5,FISER,3,task-bring_me-46-1402-3,0,0,FISER_GPT_5,0,task-bring_me-46-1402-3.json
GPT_5,FISER,2,task-bring_me-46-1469-2,0,0,FISER_GPT_5,0,task-bring_me-46-1469-2.json
GPT_5,FISER,3,task-bring_me-46-1738-3,0,0,FISER_GPT_5,0,task-bring_me-46-1738-3.json
GPT_5,FISER,4,task-bring_me-46-1800-4,0,0,FISER_GPT_5,0,task-bring_me-46-1800-4.json
GPT_5,FISER,4,task-bring_me-46-2053-4,0,0,FISER_GPT_5,0,task-bring_me-46-2053-4.json
GPT_5,FISER,1,task-bring_me-46-2146-1,0,1,FISER_GPT_5,0,task-bring_me-46-2146-1.json
GPT_5,FISER,1,task-bring_me-46-266-1,0,1,FISER_GPT_5,0,task-bring_me-46-266-1.json
GPT_5,FISER,3,task-bring_me-46-2704-3,0,0,FISER_GPT_5,0,task-bring_me-46-2704-3.json
GPT_5,FISER,2,task-bring_me-46-2737-2,0,0,FISER_GPT_5,0,task-bring_me-46-2737-2.json
GPT_5,FISER,4,task-bring_me-46-2787-4,0,0,FISER_GPT_5,0,task-bring_me-46-2787-4.json
GPT_5,FISER,1,task-bring_me-46-2816-1,0,1,FISER_GPT_5,0,task-bring_me-46-2816-1.json
GPT_5,FISER,3,task-bring_me-46-2839-3,0,0,FISER_GPT_5,0,task-bring_me-46-2839-3.json
GPT_5,FISER,2,task-bring_me-46-2878-2,0,0,FISER_GPT_5,0,task-bring_me-46-2878-2.json
GPT_5,FISER,2,task-bring_me-46-371-2,0,1,FISER_GPT_5,0,task-bring_me-46-371-2.json
GPT_5,FISER,1,task-bring_me-46-525-1,0,1,FISER_GPT_5,0,task-bring_me-46-525-1.json
GPT_5,FISER,4,task-bring_me-52-1096-4,0,0,FISER_GPT_5,0,task-bring_me-52-1096-4.json
GPT_5,FISER,2,task-bring_me-52-1282-2,0,0,FISER_GPT_5,0,task-bring_me-52-1282-2.json
GPT_5,FISER,3,task-bring_me-52-1387-3,0,0,FISER_GPT_5,0,task-bring_me-52-1387-3.json
GPT_5,FISER,4,task-bring_me-52-1460-4,0,0,FISER_GPT_5,0,task-bring_me-52-1460-4.json
GPT_5,FISER,2,task-bring_me-52-1620-2,0,0,FISER_GPT_5,0,task-bring_me-52-1620-2.json
GPT_5,FISER,4,task-bring_me-52-2276-4,0,0,FISER_GPT_5,0,task-bring_me-52-2276-4.json
GPT_5,FISER,3,task-bring_me-52-2525-3,0,0,FISER_GPT_5,0,task-bring_me-52-2525-3.json
GPT_5,FISER,2,task-bring_me-52-2834-2,0,0,FISER_GPT_5,0,task-bring_me-52-2834-2.json
GPT_5,FISER,1,task-bring_me-52-3173-1,0,1,FISER_GPT_5,0,task-bring_me-52-3173-1.json
GPT_5,FISER,1,task-bring_me-52-3705-1,0,1,FISER_GPT_5,0,task-bring_me-52-3705-1.json
GPT_5,FISER,2,task-bring_me-52-3788-2,0,0,FISER_GPT_5,0,task-bring_me-52-3788-2.json
GPT_5,FISER,3,task-bring_me-52-4588-3,0,0,FISER_GPT_5,0,task-bring_me-52-4588-3.json
GPT_5,FISER,4,task-bring_me-52-4659-4,0,0,FISER_GPT_5,0,task-bring_me-52-4659-4.json
GPT_5,FISER,1,task-bring_me-52-4852-1,0,1,FISER_GPT_5,0,task-bring_me-52-4852-1.json
GPT_5,FISER,1,task-bring_me-52-4944-1,0,1,FISER_GPT_5,0,task-bring_me-52-4944-1.json
GPT_5,FISER,3,task-bring_me-52-789-3,0,0,FISER_GPT_5,0,task-bring_me-52-789-3.json
GPT_5,FISER,1,task-bring_me-53-1165-1,0,1,FISER_GPT_5,0,task-bring_me-53-1165-1.json
GPT_5,FISER,4,task-bring_me-53-1190-4,0,0,FISER_GPT_5,0,task-bring_me-53-1190-4.json
GPT_5,FISER,1,task-bring_me-53-1403-1,0,1,FISER_GPT_5,0,task-bring_me-53-1403-1.json
GPT_5,FISER,2,task-bring_me-53-1496-2,0,0,FISER_GPT_5,0,task-bring_me-53-1496-2.json
GPT_5,FISER,2,task-bring_me-53-1758-2,0,0,FISER_GPT_5,0,task-bring_me-53-1758-2.json
GPT_5,FISER,3,task-bring_me-53-237-3,0,0,FISER_GPT_5,0,task-bring_me-53-237-3.json
GPT_5,FISER,3,task-bring_me-53-2398-3,0,0,FISER_GPT_5,0,task-bring_me-53-2398-3.json
GPT_5,FISER,4,task-bring_me-53-258-4,0,0,FISER_GPT_5,0,task-bring_me-53-258-4.json
GPT_5,FISER,2,task-bring_me-53-2603-2,0,0,FISER_GPT_5,0,task-bring_me-53-2603-2.json
GPT_5,FISER,2,task-bring_me-53-27-2,0,0,FISER_GPT_5,0,task-bring_me-53-27-2.json
GPT_5,FISER,1,task-bring_me-53-2770-1,0,0,FISER_GPT_5,0,task-bring_me-53-2770-1.json
GPT_5,FISER,1,task-bring_me-53-3227-1,0,1,FISER_GPT_5,0,task-bring_me-53-3227-1.json
GPT_5,FISER,3,task-bring_me-53-505-3,0,0,FISER_GPT_5,0,task-bring_me-53-505-3.json
GPT_5,FISER,4,task-bring_me-53-848-4,0,0,FISER_GPT_5,0,task-bring_me-53-848-4.json
GPT_5,FISER,4,task-bring_me-53-921-4,0,0,FISER_GPT_5,0,task-bring_me-53-921-4.json
GPT_5,FISER,3,task-bring_me-53-954-3,0,0,FISER_GPT_5,0,task-bring_me-53-954-3.json
GPT_5,FISER,1,task-bring_me-54-1093-1,0,1,FISER_GPT_5,0,task-bring_me-54-1093-1.json
GPT_5,FISER,4,task-bring_me-54-1479-4,0,0,FISER_GPT_5,0,task-bring_me-54-1479-4.json
GPT_5,FISER,3,task-bring_me-54-2074-3,0,1,FISER_GPT_5,0,task-bring_me-54-2074-3.json
GPT_5,FISER,2,task-bring_me-54-220-2,0,0,FISER_GPT_5,0,task-bring_me-54-220-2.json
GPT_5,FISER,1,task-bring_me-54-2933-1,0,1,FISER_GPT_5,0,task-bring_me-54-2933-1.json
GPT_5,FISER,2,task-bring_me-54-2940-2,0,0,FISER_GPT_5,0,task-bring_me-54-2940-2.json
GPT_5,FISER,3,task-bring_me-54-2971-3,0,0,FISER_GPT_5,0,task-bring_me-54-2971-3.json
GPT_5,FISER,3,task-bring_me-54-3696-3,0,0,FISER_GPT_5,0,task-bring_me-54-3696-3.json
GPT_5,FISER,2,task-bring_me-54-3726-2,0,0,FISER_GPT_5,0,task-bring_me-54-3726-2.json
GPT_5,FISER,4,task-bring_me-54-4155-4,0,0,FISER_GPT_5,0,task-bring_me-54-4155-4.json
GPT_5,FISER,2,task-bring_me-54-4224-2,0,0,FISER_GPT_5,0,task-bring_me-54-4224-2.json
GPT_5,FISER,3,task-bring_me-54-4556-3,0,0,FISER_GPT_5,0,task-bring_me-54-4556-3.json
GPT_5,FISER,4,task-bring_me-54-4652-4,0,0,FISER_GPT_5,0,task-bring_me-54-4652-4.json
GPT_5,FISER,1,task-bring_me-54-4664-1,0,1,FISER_GPT_5,0,task-bring_me-54-4664-1.json
GPT_5,FISER,1,task-bring_me-54-551-1,0,1,FISER_GPT_5,0,task-bring_me-54-551-1.json
GPT_5,FISER,4,task-bring_me-54-672-4,0,0,FISER_GPT_5,0,task-bring_me-54-672-4.json
GPT_5,FISER,2,task-bring_me-55-1023-2,0,0,FISER_GPT_5,0,task-bring_me-55-1023-2.json
GPT_5,FISER,2,task-bring_me-55-137-2,0,0,FISER_GPT_5,0,task-bring_me-55-137-2.json
